"","structure_id","slab_num","well_id","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z"
"201",4720,62,14139,"CB","PV-V","V, left, paravermis",1313847,97,114,153,-6,-62,-5
"202",4724,62,14099,"CB","PV-Crus II","Crus II, left, paravermis",1313885,98,145,173,-7,-82,-36
"203",4723,62,14091,"CB","PV-Crus I","Crus I, left, paravermis",1313884,98,136,172,-7,-81,-27
"204",4728,62,14116,"CB","PV-IX","IX, left, paravermis",1313808,99,152,139,-8,-48,-43
"205",4726,62,14100,"CB","PV-VIIIA","VIIIA, left, paravermis",1313810,99,161,161,-8,-70,-52
"206",4741,61,14138,"CB","He-VIIB","VIIB, left, lateral hemisphere",1313960,111,165,166,-20,-75,-56
"207",4742,61,14122,"CB","He-VIIIA","VIIIA, left, lateral hemisphere",1312366,111,166,162,-20,-71,-57
"208",4738,61,14153,"CB","He-VI","VI, left, lateral hemisphere",1313915,110,132,167,-19,-76,-23
"209",4738,61,14137,"CB","He-VI","VI, left, lateral hemisphere",1312369,110,131,166,-19,-75,-22
"210",4744,61,14082,"CB","He-IX","IX, left, lateral hemisphere",1312440,111,150,136,-20,-45,-41
"301",4722,62,14147,"CB","PV-VI","VI, left, paravermis",1313849,97,120,159,-6,-68,-11
"302",4722,62,14131,"CB","PV-VI","VI, left, paravermis",1313848,97,122,160,-6,-69,-13
"303",4720,62,14123,"CB","PV-V","V, left, paravermis",1313846,97,112,152,-6,-61,-3
"304",4724,62,14115,"CB","PV-Crus II","Crus II, left, paravermis",1313887,98,147,177,-7,-86,-38
"305",4723,62,14107,"CB","PV-Crus I","Crus I, left, paravermis",1313886,98,140,168,-7,-77,-31
"306",4727,62,14108,"CB","PV-VIIIB","VIIIB, left, paravermis",1313809,99,171,146,-8,-55,-62
"307",4725,62,14092,"CB","PV-VIIB","VIIB, left, paravermis",1313811,99,154,162,-8,-71,-45
"308",4728,62,14084,"CB","PV-IX","IX, left, paravermis",1312358,99,153,139,-8,-48,-44
"309",4727,62,14076,"CB","PV-VIIIB","VIIIB, left, paravermis",1312359,99,169,148,-8,-57,-60
"310",4726,62,14068,"CB","PV-VIIIA","VIIIA, left, paravermis",1312360,99,162,160,-8,-69,-53
"311",4725,62,14155,"CB","PV-VIIB","VIIB, left, paravermis",1312361,99,157,161,-8,-70,-48
"312",4719,62,14083,"CB","PV-IV","IV, left, paravermis",1313833,97,106,139,-6,-48,3
"313",4718,62,14075,"CB","PV-III","III, left, paravermis",1313822,97,107,130,-6,-39,2
"314",4719,62,14067,"CB","PV-IV","IV, left, paravermis",1313832,97,106,136,-6,-45,3
"315",4718,62,14154,"CB","PV-III","III, left, paravermis",1313821,97,106,132,-6,-41,3
"316",4742,61,14146,"CB","He-VIIIA","VIIIA, left, lateral hemisphere",1313961,111,168,159,-20,-68,-59
"317",4740,61,14130,"CB","He-Crus II","Crus II, left, lateral hemisphere",1313959,111,153,178,-20,-87,-44
"318",4741,61,14114,"CB","He-VIIB","VIIB, left, lateral hemisphere",1312364,111,165,164,-20,-73,-56
"319",4740,61,14106,"CB","He-Crus II","Crus II, left, lateral hemisphere",1312363,111,155,177,-20,-86,-46
"320",4736,61,14129,"CB","He-V","V, left, lateral hemisphere",1313946,109,123,139,-18,-48,-14
"321",4735,61,14121,"CB","He-IV","IV, left, lateral hemisphere",1313945,109,124,127,-18,-36,-15
"322",4734,61,14113,"CB","He-III","III, left, lateral hemisphere",1313927,109,128,120,-18,-29,-19
"323",4736,61,14105,"CB","He-V","V, left, lateral hemisphere",1313944,109,122,137,-18,-46,-13
"324",4735,61,14097,"CB","He-IV","IV, left, lateral hemisphere",1313943,109,124,126,-18,-35,-15
"325",4734,61,14089,"CB","He-III","III, left, lateral hemisphere",1313926,109,130,118,-18,-27,-21
"326",4739,61,14066,"CB","He-Crus I","Crus I, left, lateral hemisphere",1313916,110,134,172,-19,-81,-25
"327",4739,61,14145,"CB","He-Crus I","Crus I, left, lateral hemisphere",1312368,111,135,174,-20,-83,-26
"328",4744,61,14098,"CB","He-IX","IX, left, lateral hemisphere",1313983,111,152,137,-20,-46,-43
"329",4743,61,14090,"CB","He-VIIIB","VIIIB, left, lateral hemisphere",1313981,111,159,124,-20,-33,-50
"330",4743,61,14074,"CB","He-VIIIB","VIIIB, left, lateral hemisphere",1312437,111,157,124,-20,-33,-48
